run_id,listed_in_viewer,index_frame_count,distinct_measured_times,first_t_tcc,last_t_tcc,mesh_bytes,scientific_status,index_url,issues
athwM5_L4_chi10,True,8,8,0.0,2.0,20360,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM5_L4_chi10/index.json,
athwM5_L4_chi100,False,6,6,0.0,2.0,19695,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM5_L4_chi100/index.json,
athwM5_L4_chi1000,True,21,21,0.0,2.0,435308,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athwM5_L4_chi1000/index.json,
athw_L1_chi10,True,50,50,0.0,5.0,19258,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L1_chi10/index.json,
athw_L1_chi100,True,101,101,0.0,5.0,17128,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L1_chi100/index.json,
athw_L1_chi1000,True,101,101,0.0,5.0,18147,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L1_chi1000/index.json,
athw_L2_chi10,True,100,100,0.0,5.0,145654,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L2_chi10/index.json,
athw_L2_chi100,True,101,101,0.0,5.0,77063,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L2_chi100/index.json,
athw_L2_chi1000,True,101,101,0.0,5.0,73930,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L2_chi1000/index.json,
athw_L3_chi10,True,101,101,0.0,5.0,880341,historical; matched-code comparability not certified,https://raw.githubusercontent.com/KaanBoge/cloud-studio/7b25e3b651dafffb76716bdf0c7d778d2e441182/athw_L3_chi10/index.json,
